Year,State,wsc_total,wsc_reports,wsc_reports_with_findings,wsc_reports_ontime,wsc_reports_ext_timelines,wsc_pending,wsc_pending_due_proc,wsc_withdrawn,med_total,med_held,med_from_due_proc,med_agreed_from_due_proc,med_not_from_due_proc,med_agreed_not_from_due_proc,med_pending,med_withdrawn,dpc_total,dpc_resolutions,dpc_resolutions_settlements,dpc_adjudicated,dpc_decisions_ontime,dpc_decisions_ext_timeline,dpc_pending,dpc_withdrawn,edpc_total,edpc_resolutions,edpc_resolutions_settlements,edpc_adjudicated,edpc_placement_changes,edpc_pending,edpc_withdrawn
2012-2013,republic of the marshall islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,rhode island,14,10,7,10,0,1,1,3,77,53,1,0,52,45,0,24,23,11,6,4,0,4,1,18,0,0,0,0,0,0,0
2012-2013,south carolina,39,28,23,28,0,0,0,11,10,5,0,0,5,5,0,5,13,8,5,0,0,0,0,13,2,1,1,0,0,0,2
2012-2013,south dakota,3,2,2,1,1,0,0,1,3,2,2,1,0,0,0,1,4,1,0,1,0,1,0,3,0,0,0,0,0,0,0
2012-2013,tennessee,88,57,20,57,0,7,7,24,33,26,8,7,18,15,4,3,55,37,21,1,0,1,14,40,3,3,3,0,0,0,3
2012-2013,texas,288,140,60,134,6,13,12,135,327,168,79,60,89,65,87,72,305,125,52,14,3,10,71,220,15,6,3,1,0,0,14
2012-2013,utah,21,19,12,19,0,0,0,2,6,5,2,1,3,3,0,1,8,7,0,1,1,0,0,7,0,0,0,0,0,0,0
2012-2013,vermont,11,11,7,10,1,0,0,0,31,15,3,3,12,10,0,16,13,1,1,2,2,0,0,11,0,0,0,0,0,0,0
2012-2013,virgin islands,6,2,1,2,0,0,0,4,3,3,1,1,2,2,0,0,7,4,4,1,0,1,1,5,0,0,0,0,0,0,0
2012-2013,virginia,153,78,47,60,18,0,0,75,122,101,16,4,85,79,2,19,47,30,17,6,5,1,6,35,5,1,1,0,0,0,5
2012-2013,washington,74,50,43,47,3,15,0,9,96,55,8,7,47,36,0,41,121,69,27,10,1,8,22,89,9,8,4,1,0,0,8
2012-2013,west virginia,26,16,12,16,0,0,0,10,12,11,1,1,10,10,0,1,18,14,14,0,0,0,1,17,0,0,0,0,0,0,0
2012-2013,wisconsin,62,48,32,46,2,4,4,10,74,49,5,2,44,35,1,24,34,17,7,5,2,3,1,28,1,1,1,0,0,0,1
2012-2013,wyoming,10,5,4,5,0,0,0,5,8,7,1,1,6,5,0,1,4,2,1,1,0,1,0,3,0,0,0,0,0,0,0
2012-2013,"us, outlying areas, and freely associated states",5076,3198,2104,2969,205,150,49,1728,9680,6200,3437,2199,2763,2139,978,2502,16980,9249,1615,2543,1176,1016,3273,11164,364,194,74,59,9,15,290
